tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
โนนขมิ้น,NonKhamin,หนองบัวลำภู,Nong Bua Lam Phu,17.164,102.283,5,5,0
หมอเมือง,MoMueang,น่าน,Nan,18.687,100.975,2,1,1
ถ้ำ,Tham,พังงา,Phang-nga,8.409,98.412,14,8,6
พลับพลา,Phlapphla,นครราชสีมา,Nakhon Ratchasima,14.755,102.129,9,6,3
สลกบาตร,SalokBat,กำแพงเพชร,Kamphaeng Phet,16,99.801,1,1,0
สลกบาตร,SalokBat,กำแพงเพชร,Kamphaeng Phet,16,99.801,48,19,29
เค็งใหญ่,KhengYai,อำนาจเจริญ,Amnat Charoen,15.738,104.564,5,1,4
พรหมโลก,PhromLok,นครศรีธรรมราช,Nakhon Si Thammarat,8.5,99.793,2,2,0
พรหมโลก,PhromLok,นครศรีธรรมราช,Nakhon Si Thammarat,8.5,99.793,17,6,11
โนนโพธิ์,NonPho,อำนาจเจริญ,Amnat Charoen,15.873,104.558,14,9,5
คำม่วง,KhamMuang,ขอนแก่น,Khon Kaen,16.819,102.867,3,3,0
คำม่วง,KhamMuang,ขอนแก่น,Khon Kaen,16.819,102.867,15,13,2
วังลึก,WangLuek,สุพรรณบุรี,Suphan Buri,14.758,100.158,17,7,10
ภูปอ,PhuPo,กาฬสินธุ์,Kalasin,16.59,103.615,10,6,4
ภูปอ,PhuPo,กาฬสินธุ์,Kalasin,16.59,103.615,2,1,1
บึงชำอ้อ,BuengChamO,ปทุมธานี,Pathum Thani,14.172,100.778,18,13,5
แกลง,Klaeng,ระยอง,Rayong,12.663,101.467,107,93,14
แกลง,Klaeng,ระยอง,Rayong,12.663,101.467,37,27,10
หนองหว้า,NongWa,ศรีสะเกษ,Si Sa Ket,14.754,104.722,1,1,0
ดอนจาน,DonChan,กาฬสินธุ์,Kalasin,16.425,103.696,7,5,2
บ้านสระ,BanSa,สุพรรณบุรี,Suphan Buri,14.708,100.041,10,9,1
ไผ่สิงห์,PhaiSing,นครสวรรค์,Nakhon Sawan,15.829,100.36,2,2,0
เขื่องใน,KhueangNai,อุบลราชธานี,Ubon Ratchathani,15.371,104.556,4,3,1
เขื่องใน,KhueangNai,อุบลราชธานี,Ubon Ratchathani,15.371,104.556,4,2,2
ยางตลาด,YangTalat,กาฬสินธุ์,Kalasin,16.393,103.352,7,5,2
ยางตลาด,YangTalat,กาฬสินธุ์,Kalasin,16.393,103.352,12,10,2
บ้านบึง,BanBueng,ชลบุรี,Chon Buri,13.297,101.107,242,135,107
บ้านบึง,BanBueng,ชลบุรี,Chon Buri,13.297,101.107,221,133,88
ก้านเหลือง,KanLueang,บุรีรัมย์,Buri Ram,14.73,102.711,5,4,1
คูบ,Khup,ศรีสะเกษ,Si Sa Ket,14.971,104.569,2,1,1
ศรีสุข,SiSuk,มหาสารคาม,Maha Sarakham,16.348,103.263,6,5,1
ตลุกดู่,TalukDuk,อุทัยธานี,Uthai Thani,15.452,99.74,9,3,6
ขวาว,Khwao,ร้อยเอ็ด,Roi Et,15.946,103.99,6,3,3
เมืองแก,MueangKae,บุรีรัมย์,Buri Ram,15.19,103.308,3,2,1
ขุย,Khui,นครราชสีมา,Nakhon Ratchasima,15.353,102.866,5,4,1
ขุย,Khui,นครราชสีมา,Nakhon Ratchasima,15.353,102.866,2,2,0
ทรัพย์พระยา,SapPhraya,บุรีรัมย์,Buri Ram,14.516,102.662,3,2,1
มะรุ่ย,Marui,พังงา,Phang-nga,8.431,98.639,11,7,4
คลองน้ำใส,KhlongNamSai,สระแก้ว,Sa kaeo,13.59,102.514,124,37,87
เชียงเครือ,ChiangKhruea,กาฬสินธุ์,Kalasin,16.434,103.612,7,5,2
บางไผ่,BangPhai,พิจิตร,Phichit,16.123,100.403,4,1,3
บางไผ่,BangPhai,พิจิตร,Phichit,16.123,100.403,4,1,3
ไกรใน,KraiNai,สุโขทัย,Sukhothai,17.022,99.947,1,1,0
หนองคู,NongKhu,ชัยภูมิ,Chaiyaphum,16.293,102.398,1,1,0
ยางคำ,YangKham,ขอนแก่น,Khon Kaen,16.398,102.515,7,5,2
พลงตาเอี่ยม,PhongTaIam,ระยอง,Rayong,12.912,101.541,12,10,2
พลงตาเอี่ยม,PhongTaIam,ระยอง,Rayong,12.912,101.541,3,0,3
พะวง,PhaWong,สงขลา,Songkhla,7.105,100.588,77,43,34
